"HS02","CPC"
"060230","01510"
"060240","01510"
"060290","01510"
"060310","01520"
"060390","01520"
"120930","01530"
"120999","01530"
"120991","01540"
"090111","01611"
"090220","01612"
"090240","01612"
"090300","01613"
"180100","01614"
"090411","01620"
"090412","01620"
"090420","01620"
"090500","01620"
"090610","01620"
"090620","01620"
"090700","01620"
"090810","01620"
"090820","01620"
"090830","01620"
"090910","01620"
"090920","01620"
"090930","01620"
"090940","01620"
"090950","01620"
"091010","01620"
"091020","01620"
"091030","01620"
"091040","01620"
"091050","01620"
"091091","01620"
"091099","01620"
"240120","01710"
"240110","01790"
"121291","01810"
"121299","01820"
"121300","01910"
"121490","01910"
"520100","01921"
"530310","01922"
"530110","01923"
"530210","01923"
"530410","01923"
"530511","01923"
"530521","01923"
"530590","01923"
"121110","01930"
"121120","01930"
"121130","01930"
"121140","01930"
"121190","01930"
"120910","01940"
"120921","01940"
"120922","01940"
"120923","01940"
"120924","01940"
"120925","01940"
"120926","01940"
"120929","01940"
"121010","01990"
"121020","01990"
"121299","01990"
"010210","02111"
"010290","02111"
"010410","02112"
"010420","02112"
"010110","02113"
"010190","02113"
"010310","02121"
"010391","02121"
"010392","02121"
"010511","02122"
"010512","02122"
"010519","02122"
"010592","02122"
"010593","02122"
"010599","02122"
"010611","02129"
"010612","02129"
"010619","02129"
"010620","02129"
"010631","02129"
"010632","02129"
"010639","02129"
"010690","02129"
"040120","02910"
"040700","02920"
"040900","02930"
"020820","02940"
"030760","02940"
"041000","02950"
"510111","02961"
"050300","02962"
"510119","02962"
"510220","02962"
"510211","02963"
"510219","02963"
"500100","02964"
"410120","02971"
"410150","02971"
"410190","02971"
"410210","02971"
"410221","02971"
"410229","02971"
"410310","02971"
"430110","02972"
"430160","02972"
"430170","02972"
"430180","02972"
"430190","02972"
"430130","02973"
"410320","02974"
"410330","02974"
"410390","02974"
"152190","02980"
"051110","02990"
"440320","03110"
"440341","03120"
"440349","03120"
"440391","03120"
"440392","03120"
"440399","03120"
"440110","03130"
"440410","03190"
"440420","03190"
"400110","03210"
"400121","03210"
"400122","03210"
"400129","03210"
"400130","03220"
"130110","03230"
"130120","03230"
"130190","03230"
"450110","03910"
"060410","03920"
"060491","03920"
"060499","03920"
"140110","03930"
"140120","03930"
"140190","03930"
"140200","03930"
"140300","03930"
"140410","03930"
"140490","03930"
"030110","04110"
"030191","04110"
"030192","04110"
"030193","04110"
"030199","04110"
"030211","04120"
"030212","04120"
"030219","04120"
"030221","04120"
"030222","04120"
"030223","04120"
"030229","04120"
"030231","04120"
"030232","04120"
"030233","04120"
"030234","04120"
"030235","04120"
"030236","04120"
"030239","04120"
"030240","04120"
"030250","04120"
"030261","04120"
"030262","04120"
"030263","04120"
"030264","04120"
"030265","04120"
"030266","04120"
"030269","04120"
"030621","04210"
"030622","04210"
"030623","04210"
"030624","04210"
"030629","04210"
"030710","04220"
"030721","04230"
"030731","04230"
"030741","04230"
"030751","04230"
"030791","04230"
"050800","04910"
"050900","04920"
"121220","04930"
"270111","11010"
"270112","11010"
"270119","11010"
"270120","11020"
"270210","11030"
"270220","11030"
"270300","11040"
"270900","12010"
"271111","12020"
"271121","12020"
"271410","12030"
"261210","13000"
"261220","13000"
"260111","14100"
"260112","14100"
"260300","14210"
"260400","14220"
"260600","14230"
"261610","14240"
"261690","14240"
"260200","14290"
"260500","14290"
"260700","14290"
"260800","14290"
"260900","14290"
"261000","14290"
"261100","14290"
"261310","14290"
"261390","14290"
"261400","14290"
"261510","14290"
"261590","14290"
"261710","14290"
"261790","14290"
"251400","15110"
"251511","15120"
"251512","15120"
"251520","15120"
"250621","15130"
"251611","15130"
"251612","15130"
"251621","15130"
"251622","15130"
"251690","15130"
"252010","15200"
"252100","15200"
"250510","15310"
"250590","15310"
"251710","15320"
"251720","15320"
"251730","15320"
"251741","15320"
"251749","15320"
"271490","15330"
"250700","15400"
"250810","15400"
"250820","15400"
"250830","15400"
"250840","15400"
"250850","15400"
"250860","15400"
"250870","15400"
"251010","16110"
"251020","16110"
"310410","16110"
"250200","16120"
"251110","16190"
"251120","16190"
"252810","16190"
"252890","16190"
"252921","16190"
"252922","16190"
"253020","16190"
"253090","16190"
"250100","16200"
"710210","16310"
"710231","16310"
"710310","16310"
"251311","16320"
"251319","16320"
"251320","16320"
"710221","16320"
"250900","16330"
"251810","16330"
