HS12,CPC
160100,21184
160300,21185
160100,21186
160220,21186
160231,21186
160232,21186
160239,21186
160241,21186
160242,21186
160249,21186
160250,21186
160290,21186
160220,21189
160231,21189
160232,21189
160239,21189
160241,21189
160242,21189
160249,21189
160250,21189
160290,21189
230110,21190
30323,21211
30324,21211
30325,21211
30326,21211
30329,21211
30389,21211
30311,21212
30312,21212
30313,21212
30314,21212
30319,21212
30331,21213
30332,21213
30333,21213
30334,21213
30339,21213
30363,21214
30364,21214
30365,21214
30366,21214
30367,21214
30368,21214
30369,21214
30341,21215
30342,21215
30343,21215
30344,21215
30345,21215
30346,21215
30349,21215
30351,21216
30353,21216
30354,21216
30355,21216
30356,21216
30357,21216
30389,21216
30381,21219
30382,21219
30383,21219
30384,21219
30389,21219
30431,21221
30432,21221
30433,21221
30439,21221
30441,21221
30442,21221
30443,21221
30444,21221
30445,21221
30446,21221
30449,21221
30451,21221
30452,21221
30453,21221
30454,21221
30455,21221
30459,21221
30461,21222
30462,21222
30463,21222
30469,21222
30471,21222
30472,21222
30473,21222
30474,21222
30475,21222
30479,21222
30481,21222
30482,21222
30483,21222
30484,21222
30485,21222
30486,21222
30487,21222
30489,21222
30491,21223
30492,21223
30493,21223
30494,21223
30495,21223
30499,21223
30531,21224
30532,21224
30539,21224
30290,21225
30390,21226
30520,21227
30551,21231
30559,21231
30561,21231
30562,21231
30563,21231
30564,21231
30569,21231
30541,21232
30542,21232
30543,21232
30544,21232
30549,21232
30510,21233
30571,21234
30572,21234
30579,21234
160411,21241
160412,21241
160413,21241
160414,21241
160415,21241
160416,21241
160417,21241
160419,21241
160420,21241
160510,21241
160521,21241
160529,21241
160530,21241
160540,21241
160551,21241
160552,21241
160553,21241
160554,21241
160555,21241
160556,21241
160557,21241
160559,21241
160561,21241
160562,21241
160563,21241
160569,21241
160411,21242
160412,21242
160413,21242
160414,21242
160415,21242
160416,21242
160417,21242
160419,21242
160420,21242
160431,21243
160432,21243
30614,21251
30624,21251
30611,21252
30621,21252
30612,21253
30622,21253
30615,21254
30625,21254
30616,21255
30626,21255
30617,21256
30627,21256
30619,21259
30629,21259
30789,21261
30719,21262
30739,21263
30729,21264
30779,21265
30749,21266
30759,21267
30799,21268
30819,21269
30829,21269
30830,21269
30890,21269
160510,21270
160521,21270
160529,21270
160530,21270
160540,21270
160551,21280
160552,21280
160553,21280
160554,21280
160555,21280
160556,21280
160557,21280
160559,21280
160561,21280
160562,21280
160563,21280
160569,21280
230120,21291
51191,21299
71022,21311
71021,21312
71010,21313
71029,21319
71030,21319
71040,21319
71080,21319
71090,21319
200950,21321
200989,21329
200990,21329
71120,21330
71140,21330
71151,21330
71159,21330
71190,21330
200110,21340
200190,21340
200490,21391
110510,21392
110520,21392
71220,21393
71231,21393
71232,21393
71233,21393
71239,21393
71290,21393
200410,21394
200520,21394
200551,21395
200559,21395
200540,21396
200310,21397
200390,21397
200210,21399
200290,21399
200490,21399
200560,21399
200570,21399
200580,21399
200591,21399
200599,21399
80620,21411
81320,21412
80310,21419
80390,21419
80410,21419
80420,21419
80430,21419
80440,21419
80450,21419
80510,21419
80520,21419
80540,21419
80550,21419
80590,21419
81310,21419
81330,21419
81340,21419
81350,21419
120242,21421
80212,21422
80222,21423
80132,21424
80111,21429
80119,21429
80122,21429
80232,21429
80242,21429
80252,21429
80262,21429
80270,21429
80280,21429
80290,21429
200911,21431
200912,21431
200919,21431
200921,21432
200929,21432
200941,21433
200949,21433
200961,21434
200969,21434
200971,21435
200979,21435
200931,21439
200939,21439
200981,21439
200989,21439
200990,21439
200820,21491
200870,21492
81110,21493
81120,21493
81190,21493
200791,21494
200799,21494
200811,21495
200819,21495
81210,21496
81290,21496
81400,21496
121299,21499
200190,21499
200830,21499
200840,21499
200850,21499
200860,21499
200880,21499
200891,21499
200893,21499
200897,21499
200899,21499
20910,21511
20990,21511
150290,21512
150290,21513
150290,21514
150290,21515
150500,21519
150600,21519
150110,21521
150120,21521
150190,21522
150210,21523
150410,21524
150420,21525
150430,21526
150300,21529
150500,21529
150600,21529
151610,21590
150710,21611
150790,21612
150810,21621
150890,21622
151211,21631
151219,21632
151411,21641
151491,21641
151419,21642
151499,21642
151110,21651
151190,21652
151311,21661
151319,21662
150910,21671
150990,21672
151000,21673
151221,21681
151229,21682
151321,21691
151329,21691
151511,21691
151519,21691
151521,21691
151529,21691
151530,21691
151550,21691
151590,21691
151620,21693
151710,21700
151790,21700
140420,21800
230400,21910
230500,21910
230610,21910
230620,21910
230630,21910
230641,21910
230649,21910
230650,21910
230660,21910
230690,21910
120810,21920
120890,21920
152110,21931
152200,21932
40110,22110
40120,22110
40140,22120
40150,22120
40410,22130
40221,22211
40229,22211
40210,22212
40490,22219
40291,22221
40299,22222
40291,22229
40299,22229
40310,22230
40390,22230
40510,22241
40520,22241
40590,22241
40510,22242
40520,22242
40590,22242
40510,22249
40520,22249
40590,22249
40610,22251
40620,22251
40630,22251
40640,22251
40690,22251
40610,22252
40620,22252
40630,22252
40640,22252
40690,22252
40610,22253
40620,22253
40630,22253
40640,22253
40690,22253
40610,22254
40620,22254
40630,22254
40640,22254
40690,22254
40610,22259
40620,22259
40630,22259
40640,22259
40690,22259
350110,22260
210500,22270
40490,22290
40790,22300
110100,23110
110220,23120
110290,23120
110311,23130
110313,23130
110319,23130
110320,23130
110412,23140
110419,23140
110422,23140
110423,23140
110429,23140
110430,23140
190410,23140
190420,23140
190430,23140
190490,23140
100630,23161
100640,23161
100620,23162
110610,23170
110620,23170
110630,23170
190120,23180
170211,23210
170219,23210
170230,23210
170240,23210
170250,23210
170260,23210
170290,23210
110811,23220
110812,23220
110813,23220
110814,23220
110819,23220
110820,23220
110900,23220
350510,23220
190300,23230
230910,23311
230990,23319
121410,23320
190510,23410
190540,23410
190520,23420
190531,23420
190532,23420
190590,23430
190590,23490
170113,23511
170114,23511
170112,23512
170199,23520
170191,23530
170220,23530
170310,23540
170390,23540
180310,23610
180320,23610
180400,23620
180500,23630
180610,23640
180620,23650
180631,23660
180632,23660
180690,23660
170410,23670
170490,23670
200600,23670
190211,23710
190219,23710
190220,23721
190230,23721
190240,23721
190220,23722
190230,23722
190240,23722
90112,23911
90121,23911
90122,23911
90190,23912
210111,23912
210112,23912
210130,23912
90210,23913
90230,23913
210120,23914
90412,23921
90422,23922
90812,23923
90822,23923
90832,23923
90922,23924
90932,23924
90962,23924
90620,23925
90720,23926
91012,23927
90520,23928
91020,23929
91030,23929
91091,23929
91099,23929
160210,23991
190110,23991
200510,23991
200710,23991
210420,23991
210410,23992
40811,23993
40819,23993
40891,23993
40899,23993
350211,23993
350219,23993
220900,23994
210310,23995
210320,23995
210330,23995
210390,23995
210210,23996
210220,23996
210230,23996
190490,23997
190590,23997
130212,23999
130213,23999
130219,23999
130220,23999
130231,23999
130232,23999
130239,23999
190190,23999
210610,23999
210690,23999
220710,24110
220820,24131
220830,24131
220840,24131
220850,24131
220860,24131
220870,24131
220890,24139
220410,24211
220421,24212
220429,24212
220430,24212
220510,24220
220590,24220
220600,24230
220300,24310
110710,24320
110720,24320
220110,24410
220190,24410
220210,24490
220290,24490
240120,25010
240210,25020
240220,25020
240290,25020
240311,25090
240319,25090
240391,25090
240399,25090
500200,26110
510121,26130
510129,26130
510130,26130
510310,26140
510510,26150
510521,26150
510529,26150
510531,26150
510539,26150
510540,26150
520300,26160
530390,26170
530121,26190
530129,26190
530130,26190
530290,26190
530500,26190
550610,26210
550620,26210
550630,26210
550690,26210
550700,26220
500400,26310
500500,26310
500600,26310
510610,26320
510710,26320
510620,26330
510720,26330
510810,26340
510820,26340
510910,26340
510990,26340
511000,26340
520411,26350
520419,26350
520420,26350
520511,26360
520512,26360
520513,26360
520514,26360
520515,26360
520521,26360
520522,26360
520523,26360
520524,26360
520526,26360
520527,26360
520528,26360
520531,26360
520532,26360
520533,26360
520534,26360
520535,26360
520541,26360
520542,26360
520543,26360
520544,26360
520546,26360
520547,26360
520548,26360
520710,26360
520611,26370
520612,26370
520613,26370
520614,26370
520615,26370
520621,26370
520622,26370
520623,26370
520624,26370
520625,26370
520631,26370
520632,26370
520633,26370
520634,26370
520635,26370
520641,26370
520642,26370
520643,26370
520644,26370
520645,26370
520790,26370
530610,26380
530620,26380
530710,26380
530720,26380
530810,26380
530820,26380
530890,26380
540110,26410
540120,26410
550810,26410
550820,26410
540261,26421
540262,26421
540269,26421
540341,26421
540342,26421
540349,26421
540600,26422
550911,26430
550912,26430
550921,26430
550922,26430
550931,26430
550932,26430
550941,26430
550942,26430
551110,26430
550951,26440
550952,26440
550953,26440
550959,26440
550961,26440
550962,26440
550969,26440
550991,26440
550992,26440
550999,26440
551120,26440
551011,26450
551012,26450
551020,26461
551030,26461
551090,26461
551130,26462
500710,26510
500720,26510
500790,26510
511111,26520
511119,26520
511211,26530
511219,26530
511120,26540
511130,26540
511190,26540
511220,26540
511230,26540
511290,26540
511300,26550
530911,26560
530919,26560
530921,26560
530929,26560
531010,26570
531090,26570
531100,26590
520811,26610
520812,26610
520813,26610
520819,26610
520821,26610
520822,26610
520823,26610
520829,26610
520831,26610
520832,26610
520833,26610
520839,26610
520841,26610
520842,26610
520843,26610
520849,26610
520851,26610
520852,26610
520859,26610
520911,26620
520912,26620
520919,26620
520921,26620
520922,26620
